   Tank2 Capacity Table, step= 10.0 mm
   N       Level,mm  Volume ,l  
   1         0.0        0.0
   2        10.0        9.6
   3        20.0       27.1
   4        30.0       49.9
   5        40.0       76.8
   6        50.0      107.5
   7        60.0      141.3
   8        70.0      178.0
   9        80.0      217.5
  10        90.0      259.4
  11       100.0      303.6
  12       110.0      350.0
  13       120.0      398.5
  14       130.0      448.9
  15       140.0      501.1
  16       150.0      555.1
  17       160.0      610.8
  18       170.0      668.1
  19       180.0      727.0
  20       190.0      787.3
  21       200.0      849.1
  22       210.0      912.2
  23       220.0      976.6
  24       230.0     1042.3
  25       240.0     1109.3
  26       250.0     1177.4
  27       260.0     1246.7
  28       270.0     1317.1
  29       280.0     1388.5
  30       290.0     1460.9
  31       300.0     1534.4
  32       310.0     1608.8
  33       320.0     1684.1
  34       330.0     1760.3
  35       340.0     1837.4
  36       350.0     1915.3
  37       360.0     1994.0
  38       370.0     2073.5
  39       380.0     2153.7
  40       390.0     2234.7
  41       400.0     2316.3
  42       410.0     2398.6
  43       420.0     2481.5
  44       430.0     2565.0
  45       440.0     2649.1
  46       450.0     2733.7
  47       460.0     2818.9
  48       470.0     2904.6
  49       480.0     2990.7
  50       490.0     3077.3
  51       500.0     3164.4
  52       510.0     3251.8
  53       520.0     3339.7
  54       530.0     3427.9
  55       540.0     3516.5
  56       550.0     3605.4
  57       560.0     3694.6
  58       570.0     3784.0
  59       580.0     3873.8
  60       590.0     3963.8
  61       600.0     4054.0
  62       610.0     4144.4
  63       620.0     4235.0
  64       630.0     4325.7
  65       640.0     4416.6
  66       650.0     4507.6
  67       660.0     4597.8
  68       670.0     4689.3
  69       680.0     4780.8
  70       690.0     4872.3
  71       700.0     4963.7
  72       710.0     5052.0
  73       720.0     5146.2
  74       730.0     5237.5
  75       740.0     5328.7
  76       750.0     5419.8
  77       760.0     5510.8
  78       770.0     5601.6
  79       780.0     5692.4
  80       790.0     5783.0
  81       800.0     5873.4
  82       810.0     5963.6
  83       820.0     6053.5
  84       830.0     6143.3
  85       840.0     6232.8
  86       850.0     6322.0
  87       860.0     6410.9
  88       870.0     6499.1
  89       880.0     6587.6
  90       890.0     6675.5
  91       900.0     6763.0
  92       910.0     6850.0
  93       920.0     6936.6
  94       930.0     7022.8
  95       940.0     7108.5
  96       950.0     7193.6
  97       960.0     7278.3
  98       970.0     7362.4
  99       980.0     7445.9
 100       990.0     7528.8
 101      1000.0     7611.0
 102      1010.0     7692.7
 103      1020.0     7773.6
 104      1030.0     7853.8
 105      1040.0     7933.3
 106      1050.0     8012.0
 107      1060.0     8089.9
 108      1070.0     8167.0
 109      1080.0     8243.2
 110      1090.0     8318.5
 111      1100.0     8393.0
 112      1110.0     8466.4
 113      1120.0     8550.6
 114      1130.0     8634.8
 115      1140.0     8718.9
 116      1150.0     8803.1
 117      1160.0     8887.3
 118      1170.0     8971.5
 119      1180.0     9055.6
 120      1190.0     9139.8
 121      1200.0     9224.0
 122      1210.0     9277.5
 123      1220.0     9331.1
 124      1230.0     9384.6
 125      1240.0     9438.2
 126      1250.0     9491.7
 127      1260.0     9545.2
 128      1270.0     9598.8
 129      1280.0     9652.3
 130      1290.0     9705.8
 131      1300.0     9759.4
 132      1310.0     9812.9
 133      1320.0     9866.5
 134      1330.0     9920.0
 135      1340.0     9931.4
 136      1350.0     9942.9
 137      1360.0     9954.3
 138      1370.0     9965.7
 139      1380.0     9977.1
 140      1390.0     9988.6
 141      1400.0    10000.0
