   Tank4 Capacity Table, step= 10.0 mm
   N       Level,mm  Volume ,l  
   1         0.0        0.0
   2        10.0        9.6
   3        20.0       27.1
   4        30.0       50.0
   5        40.0       77.0
   6        50.0      107.6
   7        60.0      141.5
   8        70.0      178.3
   9        80.0      217.8
  10        90.0      259.8
  11       100.0      304.1
  12       110.0      350.6
  13       120.0      399.1
  14       130.0      449.6
  15       140.0      501.9
  16       150.0      556.0
  17       160.0      611.8
  18       170.0      669.2
  19       180.0      728.1
  20       190.0      788.6
  21       200.0      850.4
  22       210.0      913.6
  23       220.0      978.2
  24       230.0     1044.0
  25       240.0     1111.1
  26       250.0     1179.3
  27       260.0     1248.7
  28       270.0     1319.1
  29       280.0     1390.7
  30       290.0     1463.2
  31       300.0     1536.8
  32       310.0     1611.6
  33       320.0     1686.8
  34       330.0     1763.1
  35       340.0     1840.3
  36       350.0     1918.3
  37       360.0     1997.2
  38       370.0     2076.8
  39       380.0     2157.1
  40       390.0     2238.2
  41       400.0     2319.9
  42       410.0     2402.3
  43       420.0     2485.4
  44       430.0     2569.0
  45       440.0     2653.2
  46       450.0     2738.0
  47       460.0     2823.3
  48       470.0     2909.1
  49       480.0     2995.4
  50       490.0     3082.1
  51       500.0     3169.3
  52       510.0     3256.9
  53       520.0     3344.9
  54       530.0     3433.3
  55       540.0     3521.9
  56       550.0     3611.0
  57       560.0     3700.3
  58       570.0     3789.9
  59       580.0     3879.8
  60       590.0     3969.9
  61       600.0     4060.3
  62       610.0     4150.8
  63       620.0     4241.5
  64       630.0     4332.4
  65       640.0     4423.4
  66       650.0     4514.6
  67       660.0     4605.0
  68       670.0     4696.5
  69       680.0     4788.2
  70       690.0     4879.9
  71       700.0     4971.4
  72       710.0     5062.8
  73       720.0     5154.2
  74       730.0     5245.6
  75       740.0     5336.9
  76       750.0     5428.2
  77       760.0     5519.3
  78       770.0     5610.3
  79       780.0     5701.2
  80       790.0     5791.9
  81       800.0     5882.5
  82       810.0     5972.8
  83       820.0     6062.9
  84       830.0     6152.8
  85       840.0     6242.4
  86       850.0     6331.8
  87       860.0     6420.8
  88       870.0     6509.5
  89       880.0     6597.8
  90       890.0     6685.8
  91       900.0     6773.4
  92       910.0     6860.6
  93       920.0     6947.4
  94       930.0     7033.6
  95       940.0     7119.5
  96       950.0     7204.8
  97       960.0     7289.5
  98       970.0     7373.7
  99       980.0     7457.4
 100       990.0     7540.4
 101      1000.0     7622.8
 102      1010.0     7704.6
 103      1020.0     7785.6
 104      1030.0     7866.0
 105      1040.0     7945.6
 106      1050.0     8024.4
 107      1060.0     8102.4
 108      1070.0     8179.6
 109      1080.0     8256.0
 110      1090.0     8331.4
 111      1100.0     8405.9
 112      1110.0     8479.5
 113      1120.0     8562.2
 114      1130.0     8644.9
 115      1140.0     8727.7
 116      1150.0     8810.4
 117      1160.0     8893.1
 118      1170.0     8975.8
 119      1180.0     9058.6
 120      1190.0     9141.3
 121      1200.0     9224.0
 122      1210.0     9277.5
 123      1220.0     9331.1
 124      1230.0     9384.6
 125      1240.0     9438.2
 126      1250.0     9491.7
 127      1260.0     9545.2
 128      1270.0     9598.8
 129      1280.0     9652.3
 130      1290.0     9705.8
 131      1300.0     9759.4
 132      1310.0     9812.9
 133      1320.0     9866.5
 134      1330.0     9920.0
 135      1340.0     9933.3
 136      1350.0     9946.7
 137      1360.0     9960.0
 138      1370.0     9973.3
 139      1380.0     9986.7
 140      1390.0    10000.0
 141      1400.0    10000.0
